[PORT] Open: demo.testfire.net:25
[PORT] Open: demo.testfire.net:53
[PORT] Open: demo.testfire.net:80
[PORT] Open: demo.testfire.net:443
[PORT] Open: demo.testfire.net:8080
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_contact.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=inside_press.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_contact.htm
[FORM XSS] Possible: http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=CustomerServiceRepresentative:CustomerService
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=CustomerServiceRepresentative:CustomerService
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=business_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/Privacypolicy.jsp?sec=Careers&template=US
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_investments.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_community.htm
[FORM XSS] Possible: http://demo.testfire.net/Privacypolicy.jsp?sec=Careers&template=US
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=personal_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20061005.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=inside_community.htm
[FORM XSS] Possible: http://demo.testfire.net/index.jsp?content=pr/20061005.htm
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/default.jsp
[FORM XSS] Possible: http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_deposit.htm
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_cards.htm
[FORM XSS] Possible: http://demo.testfire.net/default.jsp
[FORM XSS] Possible: http://demo.testfire.net/admin/index.jsp?content=personal_cards.htm
